keyword,monthly_searches,adword_cpc,estimated profit,difficulty,word_count,location,
"find distinct list elements","0","0","0","38","4","All",
"python set","110000","0.24","264","-","2","All",
"python unique","3600","0","0","-","2","All",
"array unique","2400","0","0","-","2","All",
"javascript array unique","8100","0","0","-","3","All",
"javascript array filter","33100","0.17","56","-","3","All",
"array reduce","18100","2.44","441","-","2","All",
"javascript array indexof","12100","7.3","883","-","3","All",
"set set set","6600","0.02","1","-","3","All",
"element lighting","5400","1.1","59","-","2","All",
"python set intersection","9900","0.4","39","-","3","All",
"unique python","2900","0.47","13","-","2","All",
"unique elements","320","0","0","-","2","All",
"unique list python","8100","0","0","-","3","All",
"python set to list","8100","0.46","37","-","4","All",
"javascript unique","1000","10.78","107","-","2","All",
"python set add","5400","0","0","-","3","All",
"javascript array distinct","2400","0","0","-","3","All",
"sort unique","1300","0","0","-","2","All",
"python ordered set","3600","0.29","10","-","3","All",
"pandas unique","8100","0","0","-","2","All",
"true elements","2900","0.03","0","-","2","All",
"javascript remove duplicates from array","9900","0","0","-","5","All",
"python set example","880","0.15","1","-","3","All",
"python list to set","2400","0.24","5","-","4","All",
"python intersection","3600","1.22","43","-","2","All",
"python list remove duplicates","14800","0","0","-","4","All",
"unique list","1000","0","0","-","2","All",
"the elements of statistical learning","6600","0.26","17","-","5","All",
"unique values","1000","0.03","0","-","2","All",
"python unique set","210","0","0","-","3","All",
"javascript distinct","880","0","0","-","2","All",
"python set function","6600","0.25","16","-","3","All",
"python sort set","1900","0.58","11","-","3","All",
"set set","8100","0.08","6","-","2","All",
"indexof array","12100","0","0","-","2","All",
"unique strings","320","0","0","-","2","All",
"php array unique","5400","0.85","45","-","3","All",
"sets","2240000","0.23","5152","-","1","All",
"php array_unique","2900","0","0","-","2","All",
"distinct python","320","0.53","1","-","2","All",
"the elements of style pdf","4400","0.52","22","-","5","All",
"distinct elements","320","0","0","-","2","All",
"python in array","880","0.41","3","-","3","All",
"unique events","1300","1.41","18","-","2","All",
"set in","6600","0.36","23","-","2","All",
"python contains","12100","0.18","21","-","2","All",
"unique numbers","5400","0","0","-","2","All",
"se t","1300","1.19","15","-","2","All",
"select unique","3600","0.09","3","-","2","All",
