keyword,monthly_searches,adword_cpc,estimated profit,difficulty,word_count,location,
"compare two lists","1900","0","0","40","3","All",
"excel compare two lists","4400","0","0","-","4","All",
"excel compare","5400","0.92","49","-","2","All",
"spreadsheet compare","3600","0.88","31","-","2","All",
"excel compare two columns","27100","0.23","62","-","4","All",
"compare two excel files","4400","0.46","20","-","4","All",
"compare excel sheets","2900","0.47","13","-","3","All",
"compare two excel sheets","6600","0.48","31","-","4","All",
"compare 2 excel files","1900","0.43","8","-","4","All",
"compare excel files 2010","110","0.68","0","-","4","All",
"compare 2 excel sheets","1600","0.54","8","-","4","All",
"compare two excel spreadsheets","1600","0.54","8","-","4","All",
"compare lists","2900","0","0","-","2","All",
"excel compare columns","4400","0.37","16","-","3","All",
"excel comparison tool","1000","2.14","21","-","3","All",
"spreadsheet compare 2013","90","0.44","0","-","3","All",
"compare two excel sheets for differences","390","0.35","1","-","6","All",
"excel match two columns","3600","0.56","20","-","4","All",
"compare two excel sheets and highlight differences","880","0.49","4","-","7","All",
"excel compare 2 columns","4400","0.48","21","-","4","All",
"compare excel files online","590","1.01","5","-","4","All",
"excel matching two lists","260","0","0","-","4","All",
"compare two excel files for differences","480","0.37","1","-","6","All",
"excel compare two worksheets","590","0.5","2","-","4","All",
"compare excel spreadsheets 2010","40","0","0","-","4","All",
"excel compare two cells","2400","0.17","4","-","4","All",
"compare two excel spreadsheets for differences","140","0","0","-","6","All",
"compare two spreadsheets","390","0.03","0","-","3","All",
"compare 2 lists","590","0","0","41","3","All",
"compare excel spreadsheets for differences","140","0","0","-","5","All",
"excel compare two columns for differences","2900","0.45","13","-","6","All",
"excel compare lists","1300","0.56","7","-","3","All",
"compare excel sheets for differences","210","0.37","0","-","5","All",
"compare 2 excel spreadsheets","260","0.46","1","-","4","All",
"compare two excel sheets for differences 2010","10","0","0","-","7","All",
"compare excel workbooks","590","0.7","4","-","3","All",
"excel compare cells","1900","0.09","1","-","3","All",
"spreadsheet compare 2016","390","0.92","3","-","3","All",
"compare 2 spreadsheets","140","0","0","-","3","All",
"compare two excel spreadsheets for differences 2010","10","0","0","-","7","All",
"compare xls files","110","0.66","0","-","3","All",
"compare excel sheets 2010","10","0","0","-","4","All",
"compare excel files for differences","170","0.49","0","-","5","All",
"excel match columns","1300","0","0","-","3","All",
"spreadsheet compare tool","70","0","0","-","3","All",
"excel file compare tool","210","0.62","1","-","4","All",
"compare excel worksheets","480","0.56","2","-","3","All",
"compare excel documents","590","0.4","2","-","3","All",
"compare two excel files 2010","10","0","0","-","5","All",
"excel spreadsheet compare tool","70","0.95","0","-","4","All",
