keyword,monthly_searches,adword_cpc,estimated profit,difficulty,word_count,location,
"list comparison tool","50","0","0","33","3","All",
"file compare","27100","0.81","219","-","2","All",
"code compare","22200","0.33","73","-","2","All",
"compare text online","49500","0.4","198","38","3","All",
"online diff","40500","0.16","64","-","2","All",
"compare files online","18100","0.98","177","41","3","All",
"compare utilities","5400","11.76","635","-","2","All",
"diff","90500","0.1","90","-","1","All",
"file compare tool","4400","1.44","63","-","3","All",
"compare two files in notepad","5400","0","0","-","5","All",
"compare documents","3600","1.56","56","-","2","All",
"text diff","27100","0.26","70","-","2","All",
"file diff","14800","0.45","66","44","2","All",
"compare two files online","4400","2.17","95","-","4","All",
"text comparison tool","2900","0.77","22","39","3","All",
"compare text files","5400","0.66","35","-","3","All",
"compare folders","2900","1.44","41","-","2","All",
"compare two files","6600","0.61","40","-","3","All",
"diff tool","8100","0.83","67","-","2","All",
"compare two text files","3600","0.73","26","-","4","All",
"compare online","8100","0.32","25","-","2","All",
"compare website","8100","4.94","400","-","2","All",
"difference checker","8100","0.24","19","-","2","All",
"compare two documents","1300","2.13","27","-","3","All",
"code compare online","9900","0.48","47","-","3","All",
"online diff tool","4400","0.54","23","-","3","All",
"price comparison tool","320","3.48","11","-","3","All",
"compare tool","2900","0.73","21","-","2","All",
"compare 2 files","2900","0.82","23","-","3","All",
"xml compare online","3600","2.36","84","-","3","All",
"compare directories","1000","2.2","22","-","2","All",
"compare text files notepad","10","0","0","-","4","All",
"online file diff","5400","0.65","35","-","3","All",
"text comparator","2400","0.33","7","-","2","All",
"text compare notepad","20","0","0","-","3","All",
"online diff checker","9900","0.7","69","-","3","All",
"document comparison tool","260","2.68","6","-","3","All",
"compare files in two folders","880","2.82","24","-","5","All",
"online file comparator","480","1.67","8","-","3","All",
"compare text files online","1900","1.26","23","-","4","All",
"code compare tool","1300","0.46","5","-","3","All",
"notepad diff","3600","0","0","-","2","All",
"string compare online","12100","0.23","27","-","3","All",
"compare 2 files online","1300","0.19","2","-","4","All",
"file comparator","880","0.54","4","-","2","All",
"compare files windows","2400","1.31","31","-","3","All",
"compare 2 text files","1300","0.29","3","-","4","All",
"online comparator","1000","0.29","2","-","2","All",
"windows diff tool","1900","3.9","74","-","3","All",
"compare two texts","4400","0.21","9","-","3","All",
